iter	RMSE
0	3521.204487
1	3272.232036
2	3051.878642
3	2857.862713
4	2690.458798
5	2543.081207
6	2414.516095
7	2296.775874
8	2199.07322
9	2115.520821
10	2042.934334
11	1974.495534
12	1915.991765
13	1867.23088
14	1824.610073
15	1786.124799
16	1754.628477
17	1725.896386
18	1702.612363
19	1679.86633
20	1660.817185
21	1643.899683
22	1628.170718
23	1614.098243
24	1601.61444
25	1589.807753
26	1580.171041
27	1570.882341
28	1563.052093
29	1555.828031
30	1549.497528
31	1543.526464
32	1537.233376
33	1531.551653
34	1527.157696
35	1522.493338
36	1518.24974
37	1514.16841
38	1510.881486
39	1507.147824
40	1504.19543
41	1501.481329
42	1497.342488
43	1494.709569
44	1489.884753
45	1486.61216
46	1483.669631
47	1480.851278
48	1478.362794
49	1477.031676
50	1474.766217
51	1473.817407
52	1471.517396
53	1468.954833
54	1466.20125
55	1463.659776
56	1461.565849
57	1460.280819
58	1457.840322
59	1455.82584
60	1453.900567
61	1452.464668
62	1448.967789
63	1448.074605
64	1446.523201
65	1443.954828
66	1442.780612
67	1440.645211
68	1439.362995
69	1438.050868
70	1436.527208
71	1435.090874
72	1433.73497
73	1432.360147
74	1431.614677
75	1430.176979
76	1429.375909
77	1427.677349
78	1426.237373
79	1425.108267
80	1423.85453
81	1422.990408
82	1421.586881
83	1420.441535
84	1419.066442
85	1418.376216
86	1417.308148
87	1415.646978
88	1414.247242
89	1413.3073
90	1411.984658
91	1410.897418
92	1410.322749
93	1409.424775
94	1408.427073
95	1407.171449
96	1406.107142
97	1405.274572
98	1403.618282
99	1402.179495
100	1401.125867
101	1400.074525
102	1399.338598
103	1398.220305
104	1397.433291
105	1396.531497
106	1395.771448
107	1395.023423
108	1394.078558
109	1392.157286
110	1391.531415
111	1391.010342
112	1390.380359
113	1389.793675
114	1388.82875
115	1387.926574
116	1387.154973
117	1386.794278
118	1385.546096
119	1385.096366
120	1384.648393
121	1384.075826
122	1383.026789
123	1382.428518
124	1381.220788
125	1379.927408
126	1379.141405
127	1377.889711
128	1376.873918
129	1376.187644
130	1374.877825
131	1374.536528
132	1373.939512
133	1373.437755
134	1372.980129
135	1372.218968
136	1371.598977
137	1370.394354
138	1369.561585
139	1369.249509
140	1367.631758
141	1366.923323
142	1365.671019
143	1364.915722
144	1363.495707
145	1362.422837
146	1362.035188
147	1361.62747
148	1360.305934
149	1359.510526
150	1358.120708
151	1357.552276
152	1356.878622
153	1356.186767
154	1355.266682
155	1354.915788
156	1353.71654
157	1352.93445
158	1351.506585
159	1350.534615
160	1350.327598
161	1349.693143
162	1348.257085
163	1347.573385
164	1346.630033
165	1346.204597
166	1345.699897
167	1345.031565
168	1344.118649
169	1343.330903
170	1342.657998
171	1341.317321
172	1339.919207
173	1339.503868
174	1339.027193
175	1338.179425
176	1337.517573
177	1337.213191
178	1336.416271
179	1335.937611
180	1334.637861
181	1334.283928
182	1333.624437
183	1332.311189
184	1331.519644
185	1330.687933
186	1329.790039
187	1329.525778
188	1328.582998
189	1327.928172
190	1327.358415
191	1326.823175
192	1326.409955
193	1325.650207
194	1325.075919
195	1324.523608
196	1324.085732
197	1323.550659
198	1322.974007
199	1322.669697
200	1321.587601
201	1320.767135
202	1319.905672
203	1319.368769
204	1318.739912
205	1318.172157
206	1317.760869
207	1317.006404
208	1316.415466
209	1316.203609
210	1315.739118
211	1315.057301
212	1313.841706
213	1313.511408
214	1313.181924
215	1312.808232
216	1312.357879
217	1311.621848
218	1310.493009
219	1309.928265
220	1309.321988
221	1308.63755
222	1308.024781
223	1306.87871
224	1305.795661
225	1305.226251
226	1304.528925
227	1303.701093
228	1303.343726
229	1302.932074
230	1302.436143
231	1301.594017
232	1301.054615
233	1300.634359
234	1299.855711
235	1299.253941
236	1299.126837
237	1298.706748
238	1297.99809
239	1297.533256
240	1296.513153
241	1295.905712
242	1295.209017
243	1294.90332
244	1294.50503
245	1294.201564
246	1293.356913
247	1292.768954
248	1291.885887
249	1291.376823
250	1290.790725
251	1290.212891
252	1290.12937
253	1289.708379
254	1289.258416
255	1288.970425
256	1288.535644
257	1288.082529
258	1287.80018
259	1287.091
260	1286.76461
261	1286.362762
262	1286.196039
263	1285.424827
264	1284.68959
265	1284.143788
266	1283.972307
267	1283.832142
268	1283.605457
269	1283.137263
270	1282.544426
271	1282.378489
272	1281.949734
273	1281.40576
274	1280.555847
275	1280.230355
276	1279.947672
277	1279.301167
278	1278.834623
279	1278.286794
280	1277.805272
281	1277.690521
282	1277.570549
283	1277.081899
284	1276.361224
285	1275.97664
286	1275.771022
287	1275.018242
288	1274.609992
289	1273.943763
290	1272.991081
291	1272.463404
292	1272.107092
293	1271.611805
294	1270.68058
295	1270.316185
296	1269.61562
297	1269.368421
298	1268.890503
299	1268.14833
300	1267.645736
301	1267.135705
302	1266.604407
303	1266.129315
304	1266.021865
305	1265.855996
306	1265.325285
307	1264.794347
308	1264.085254
309	1263.613512
310	1262.992919
311	1262.335119
312	1261.924271
313	1261.666906
314	1261.155445
315	1260.922012
316	1260.578242
317	1259.535157
318	1259.100346
319	1258.840078
320	1258.457389
321	1257.726893
322	1257.373792
323	1256.995206
324	1256.557989
325	1256.177844
326	1255.478909
327	1255.316211
328	1254.807546
329	1254.31382
330	1253.975774
331	1253.056111
332	1252.44403
333	1252.117035
334	1251.597826
335	1251.087047
336	1250.267482
337	1250.118839
338	1249.835889
339	1249.658661
340	1249.272809
341	1249.094214
342	1248.752547
343	1248.638819
344	1248.251282
345	1247.649135
346	1247.13454
347	1246.892959
348	1246.49369
349	1246.051104
350	1245.618529
351	1244.982525
352	1244.578552
353	1244.005835
354	1243.498139
355	1243.160401
356	1242.842894
357	1242.098503
358	1241.652102
359	1241.229211
360	1240.738421
361	1240.431416
362	1240.242576
363	1239.593929
364	1239.185429
365	1238.356274
366	1237.946223
367	1237.44455
368	1236.988933
369	1236.564019
370	1236.330138
371	1235.971615
372	1235.49597
373	1235.11165
374	1234.799681
375	1234.133512
376	1233.61878
377	1233.053039
378	1232.567963
379	1232.268025
380	1231.744633
381	1231.309119
382	1230.74545
383	1229.979045
384	1229.67063
385	1229.370532
386	1229.16573
387	1228.794586
388	1228.555101
389	1228.227325
390	1227.679183
391	1227.495883
392	1226.972148
393	1226.872668
394	1226.05947
395	1225.479443
396	1225.035025
397	1224.668702
398	1224.397801
399	1224.207856
400	1223.639974
401	1223.158901
402	1222.914563
403	1222.726653
404	1222.505549
405	1221.873777
406	1221.101926
407	1220.56354
408	1220.249178
409	1220.017821
410	1219.485813
411	1219.067637
412	1218.857418
413	1218.388696
414	1217.591799
415	1217.257018
416	1216.817789
417	1216.353244
418	1215.930568
419	1215.698334
420	1215.21104
421	1214.842068
422	1214.360932
423	1214.146688
424	1213.757647
425	1213.543109
426	1213.485923
427	1212.954832
428	1212.863955
429	1212.474389
430	1211.799364
431	1211.541059
432	1211.41156
433	1210.98521
434	1210.918039
435	1210.522811
436	1210.153904
437	1209.873396
438	1209.319472
439	1209.072061
440	1208.410686
441	1208.100419
442	1207.832244
443	1207.407327
444	1206.726741
445	1206.148751
446	1205.998596
447	1205.358724
448	1204.989297
449	1204.312351
450	1204.284605
451	1204.016425
452	1203.828786
453	1203.425655
454	1203.13812
455	1202.799044
456	1202.221905
457	1201.864897
458	1201.53579
459	1201.015826
460	1200.393048
461	1200.219954
462	1199.771267
463	1199.70685
464	1199.053424
465	1198.727721
466	1198.395784
467	1198.129844
468	1197.591385
469	1197.231623
470	1197.206749
471	1197.021912
472	1196.636973
473	1196.335383
474	1196.031192
475	1195.748547
476	1195.357456
477	1194.931574
478	1194.343999
479	1194.158042
480	1194.065462
481	1193.743608
482	1193.447143
483	1192.61179
484	1192.26944
485	1191.844316
486	1191.37846
487	1191.169194
488	1190.840372
489	1190.208274
490	1190.093757
491	1189.698804
492	1189.421883
493	1188.971006
494	1188.79037
495	1188.516482
496	1188.03231
497	1187.688675
498	1187.392678
499	1186.925183
500	1186.563277
501	1186.440307
502	1186.209126
503	1185.912667
504	1185.568667
505	1185.330606
506	1184.941497
507	1184.601699
508	1183.887604
509	1183.526226
510	1183.338683
511	1182.668275
512	1182.256964
513	1182.020176
514	1181.498669
515	1181.172426
516	1180.955611
517	1180.563779
518	1180.184647
519	1179.921997
520	1179.752757
521	1179.325057
522	1179.132764
523	1178.538537
524	1178.411807
525	1177.744496
526	1177.514742
527	1177.032478
528	1176.757556
529	1176.592414
530	1176.22952
531	1175.806058
532	1175.709445
533	1175.190028
534	1174.79747
535	1174.375843
536	1174.159413
537	1174.106855
538	1173.782142
539	1173.371938
540	1173.027015
541	1172.488889
542	1172.171072
543	1172.018024
544	1171.917214
545	1171.551158
546	1171.34077
547	1171.050047
548	1170.772155
549	1170.692715
550	1170.441668
551	1170.053389
552	1169.590282
553	1169.075634
554	1168.536064
555	1168.234066
556	1168.210713
557	1168.189086
558	1167.841778
559	1167.632996
560	1167.340134
561	1167.166455
562	1166.959696
563	1166.705685
564	1166.015979
565	1165.266462
566	1165.042347
567	1164.326631
568	1164.052474
569	1163.846672
570	1163.502937
571	1163.39442
572	1163.222724
573	1162.77902
574	1162.542736
575	1162.27849
576	1162.104574
577	1161.731666
578	1161.368438
579	1161.157424
580	1160.406688
581	1160.042818
582	1159.624465
583	1159.439655
584	1159.036502
585	1158.620969
586	1158.151035
587	1157.688972
588	1157.420992
589	1157.080738
590	1156.911814
591	1156.643707
592	1156.252618
593	1156.104569
594	1156.032654
595	1155.550357
596	1155.252365
597	1155.058572
598	1154.892701
599	1154.412443
600	1154.17744
601	1153.98258
602	1153.833436
603	1153.645888
604	1153.283354
605	1152.907081
606	1152.586885
607	1151.977532
608	1151.713224
609	1151.460552
610	1151.138173
611	1150.763616
612	1150.635683
613	1150.342247
614	1150.112381
615	1149.670462
616	1149.475523
617	1149.162391
618	1148.962835
619	1148.826463
620	1148.180264
621	1147.992572
622	1147.818647
623	1147.682416
624	1147.220585
625	1147.071526
626	1146.989496
627	1146.858623
628	1146.319446
629	1146.085857
630	1145.906535
631	1145.492925
632	1145.171556
633	1144.745764
634	1144.403633
635	1144.031853
636	1143.720135
637	1143.589914
638	1143.504424
639	1142.852949
640	1142.511524
641	1142.347155
642	1142.130579
643	1141.828858
644	1141.533243
645	1141.238086
646	1140.724902
647	1140.402102
648	1140.253334
649	1139.800792
650	1139.727598
651	1139.39336
652	1139.070555
653	1138.6369
654	1138.371235
655	1138.096109
656	1137.90595
657	1137.498619
658	1137.212385
659	1136.815317
660	1136.39693
661	1136.271756
662	1136.040354
663	1135.814676
664	1135.510716
665	1135.322419
666	1135.023772
667	1134.808442
668	1134.482041
669	1134.46606
670	1134.284266
671	1133.962466
672	1133.73405
673	1133.628441
674	1133.218376
675	1132.82465
676	1132.537593
677	1132.249874
678	1131.939234
679	1131.631044
680	1131.403934
681	1131.211918
682	1131.07747
683	1130.564223
684	1129.869357
685	1129.549647
686	1129.487638
687	1129.209678
688	1128.865758
689	1128.546922
690	1128.336794
691	1128.082533
692	1127.720881
693	1127.349881
694	1127.125681
695	1126.844103
696	1126.652407
697	1126.113245
698	1125.943331
699	1125.910959
700	1125.710472
701	1125.292661
702	1125.065756
703	1124.646752
704	1124.349662
705	1123.735544
706	1123.313639
707	1123.047034
708	1122.719522
709	1122.417563
710	1122.315131
711	1122.117981
712	1121.856434
713	1121.822019
714	1121.642034
715	1121.37685
716	1121.013316
717	1120.96003
718	1120.715746
719	1120.458782
720	1120.387132
721	1120.221177
722	1119.929161
723	1119.711414
724	1119.404961
725	1119.090096
726	1118.749057
727	1118.510974
728	1118.081556
729	1117.496966
730	1117.205394
731	1116.836126
732	1116.484621
733	1116.222116
734	1116.018655
735	1115.586765
736	1115.298845
737	1115.102089
738	1114.880233
739	1114.64959
740	1114.324273
741	1114.112716
742	1114.031981
743	1113.719153
744	1113.398928
745	1113.356328
746	1112.996149
747	1112.626465
748	1112.097375
749	1111.81239
750	1111.360959
751	1111.145352
752	1110.938459
753	1110.805479
754	1110.385018
755	1110.231757
756	1109.941384
757	1109.811759
758	1109.5102
759	1109.466066
760	1109.082108
761	1108.696847
762	1108.503294
763	1108.08377
764	1107.737612
765	1107.32432
766	1107.034823
767	1106.752557
768	1106.44067
769	1106.219048
770	1105.933055
771	1105.676891
772	1105.446989
773	1105.148566
774	1104.827695
775	1104.116332
776	1103.612891
777	1103.372693
778	1103.204339
779	1102.687149
780	1102.486362
781	1102.245367
782	1102.007484
783	1101.750054
784	1101.480848
785	1101.182325
786	1100.740503
787	1100.425739
788	1100.149428
789	1099.820189
790	1099.522971
791	1099.434493
792	1099.30953
793	1099.130113
794	1098.77263
795	1098.675188
796	1098.389824
797	1098.134477
798	1098.054657
799	1097.65421
800	1097.039275
801	1096.960993
802	1096.73594
803	1096.483285
804	1096.252482
805	1095.962911
806	1095.645746
807	1095.124547
808	1094.871087
809	1094.626869
810	1094.408332
811	1094.159771
812	1093.923088
813	1093.57469
814	1093.389464
815	1093.023233
816	1092.51375
817	1092.18752
818	1092.151553
819	1091.990568
820	1091.902786
821	1091.774296
822	1091.692068
823	1091.534247
824	1091.192264
825	1090.940964
826	1090.640181
827	1090.3825
828	1090.166555
829	1089.818272
830	1089.538989
831	1089.201181
832	1088.876516
833	1088.769177
834	1088.514764
835	1088.325397
836	1088.129338
837	1088.07776
838	1087.809026
839	1087.60686
840	1087.461102
841	1087.073909
842	1086.88275
843	1086.730717
844	1086.60183
845	1086.288501
846	1086.180773
847	1086.130844
848	1085.661582
849	1085.443276
850	1085.139378
851	1085.063876
852	1084.842646
853	1084.697894
854	1084.51372
855	1084.31262
856	1084.070562
857	1083.469337
858	1083.331636
859	1083.266974
860	1082.973098
861	1082.734724
862	1082.553649
863	1082.472506
864	1082.331196
865	1082.134149
866	1082.034982
867	1081.718441
868	1081.550197
869	1081.230045
870	1080.985085
871	1080.614221
872	1080.368743
873	1080.269628
874	1080.078069
875	1079.942961
876	1079.840571
877	1079.75044
878	1079.32987
879	1079.189539
880	1078.958005
881	1078.568216
882	1078.367835
883	1078.057144
884	1077.886609
885	1077.669586
886	1077.498296
887	1077.268836
888	1077.136887
889	1077.001632
890	1076.684972
891	1076.519531
892	1076.235437
893	1076.075184
894	1075.731406
895	1075.537162
896	1075.410655
897	1074.917787
898	1074.687505
899	1074.481325
900	1074.251993
901	1074.067831
902	1073.853932
903	1073.595484
904	1073.430298
905	1073.0999
906	1072.996793
907	1072.509675
908	1072.13667
909	1071.962963
910	1071.663064
911	1071.393325
912	1071.040835
913	1070.747152
914	1070.539206
915	1070.180707
