iter	Passed	Remaining
0	97	97728
1	147	73696
2	180	59948
3	214	53341
4	246	49136
5	282	46773
6	313	44519
7	343	42544
8	375	41397
9	413	40929
10	445	40061
11	476	39238
12	507	38539
13	541	38141
14	573	37643
15	599	36847
16	625	36178
17	652	35575
18	676	34935
19	704	34510
20	730	34042
21	757	33670
22	783	33294
23	816	33213
24	845	32981
25	874	32775
26	904	32595
27	940	32645
28	975	32649
29	1009	32642
30	1038	32464
31	1071	32410
32	1103	32329
33	1138	32337
34	1166	32172
35	1195	32008
36	1227	31948
37	1256	31803
38	1290	31793
39	1322	31738
40	1351	31614
41	1379	31462
42	1406	31295
43	1443	31361
44	1471	31232
45	1498	31070
46	1528	30996
47	1560	30949
48	1592	30912
49	1628	30945
50	1659	30884
51	1691	30839
52	1724	30815
53	1759	30821
54	1792	30798
55	1823	30741
56	1856	30716
57	1887	30648
58	1913	30521
59	1940	30403
60	1969	30319
61	1999	30246
62	2028	30166
63	2053	30038
64	2080	29922
65	2105	29799
66	2128	29639
67	2153	29510
68	2179	29408
69	2203	29278
70	2228	29163
71	2253	29041
72	2280	28956
73	2303	28820
74	2331	28753
75	2354	28624
76	2383	28576
77	2408	28471
78	2436	28403
79	2462	28323
80	2494	28299
81	2522	28243
82	2552	28196
83	2579	28123
84	2611	28106
85	2646	28127
86	2679	28118
87	2711	28103
88	2742	28070
89	2775	28058
90	2807	28049
91	2832	27952
92	2860	27893
93	2884	27805
94	2910	27727
95	2936	27648
96	2963	27586
97	2992	27541
98	3017	27461
99	3045	27406
100	3070	27330
101	3098	27280
102	3124	27213
103	3156	27193
104	3189	27183
105	3225	27202
106	3256	27173
107	3288	27158
108	3323	27163
109	3357	27164
110	3392	27170
111	3424	27152
112	3453	27110
113	3482	27065
114	3507	26989
115	3534	26932
116	3559	26862
117	3593	26857
118	3625	26842
119	3661	26848
120	3695	26844
121	3724	26801
122	3754	26772
123	3785	26745
124	3815	26705
125	3848	26692
126	3879	26668
127	3913	26659
128	3941	26611
129	3975	26603
130	4007	26583
131	4043	26589
132	4074	26563
133	4110	26565
134	4144	26557
135	4178	26544
136	4211	26531
137	4244	26513
138	4281	26519
139	4317	26523
140	4346	26479
141	4372	26418
142	4400	26371
143	4426	26314
144	4454	26265
145	4485	26238
146	4516	26206
147	4541	26141
148	4566	26082
149	4594	26035
150	4621	25984
151	4647	25929
152	4672	25868
153	4696	25802
154	4720	25732
155	4744	25668
156	4773	25629
157	4798	25571
158	4823	25514
159	4848	25455
160	4877	25418
161	4901	25354
162	4927	25300
163	4950	25236
164	4981	25210
165	5008	25162
166	5037	25125
167	5062	25070
168	5091	25035
169	5117	24987
170	5147	24956
171	5174	24910
172	5204	24877
173	5233	24845
174	5261	24802
175	5294	24789
176	5326	24764
177	5353	24721
178	5375	24657
179	5406	24628
180	5440	24616
181	5469	24584
182	5502	24565
183	5533	24539
184	5560	24494
185	5590	24466
186	5620	24433
187	5646	24389
188	5673	24345
189	5700	24301
190	5726	24253
191	5752	24209
192	5778	24163
193	5809	24135
194	5836	24095
195	5861	24046
196	5886	23993
197	5914	23956
198	5944	23928
199	5979	23917
200	6008	23886
201	6034	23838
202	6057	23781
203	6079	23721
204	6102	23664
205	6125	23610
206	6146	23546
207	6171	23498
208	6193	23441
209	6216	23386
210	6241	23338
211	6263	23283
212	6287	23229
213	6307	23168
214	6332	23121
215	6353	23060
216	6375	23005
217	6399	22957
218	6426	22917
219	6451	22875
220	6477	22833
221	6498	22774
222	6524	22731
223	6546	22679
224	6570	22633
225	6592	22577
226	6614	22525
227	6638	22479
228	6661	22426
229	6682	22371
230	6706	22324
231	6727	22271
232	6750	22221
233	6775	22178
234	6801	22140
235	6824	22092
236	6844	22034
237	6868	21989
238	6890	21939
239	6914	21894
240	6939	21856
241	6968	21826
242	6990	21776
243	7015	21735
244	7035	21681
245	7057	21630
246	7081	21589
247	7105	21544
248	7127	21498
249	7153	21459
250	7177	21418
251	7200	21374
252	7222	21324
253	7244	21278
254	7270	21242
255	7291	21189
256	7314	21145
257	7341	21112
258	7363	21068
259	7387	21025
260	7410	20981
261	7435	20942
262	7458	20900
263	7481	20858
264	7504	20813
265	7525	20766
266	7547	20719
267	7568	20672
268	7590	20626
269	7614	20587
270	7638	20548
271	7661	20504
272	7684	20464
273	7706	20418
274	7728	20375
275	7750	20332
276	7774	20292
277	7797	20251
278	7821	20211
279	7844	20172
280	7866	20127
281	7887	20082
282	7911	20043
283	7935	20007
284	7961	19972
285	7984	19934
286	8006	19891
287	8030	19854
288	8052	19810
289	8076	19773
290	8099	19734
291	8125	19700
292	8150	19667
293	8172	19624
294	8197	19590
295	8220	19550
296	8245	19517
297	8267	19475
298	8292	19442
299	8317	19406
300	8337	19362
301	8357	19317
302	8379	19275
303	8400	19232
304	8420	19186
305	8449	19162
306	8481	19144
307	8512	19124
308	8545	19109
309	8578	19094
310	8616	19088
311	8647	19069
312	8678	19048
313	8708	19025
314	8742	19012
315	8776	18998
316	8806	18975
317	8840	18959
318	8870	18937
319	8909	18933
320	8940	18912
321	8975	18897
322	9005	18875
323	9036	18854
324	9069	18837
325	9102	18818
326	9137	18806
327	9171	18791
328	9203	18770
329	9235	18750
